mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		4	40	E2	2	5
1	1	0	0.5	0	3/4	4/4	2	1	1/8	1/8	1		8	56	G#3	3	3
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		5	59	B3	3	2
1	1	0	0.5	0	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	0
1	1	1/2	0.5	1/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	4
1	1	1/2	0.5	1/8	7/8	4/4	1	1	1/8	1/8	1		6	66	F#4	4	1
2	2	1	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	19
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	14
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1		4	64	E4	4	10
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		8	68	G#4	4	6
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	20
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	15
2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	11
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	7
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		8	44	G#2	2	21
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	16
2	2	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		4	64	E4	4	12
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	8
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		7	49	C#3	3	22
2	2	4	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		7	61	C#4	4	17
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	13
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	9
2	2	9/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	18
3	3	5	1.0	0	0	4/4	2	2	1/4	1/4	1		6	42	F#2	2	36
3	3	5	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	32
3	3	5	0.5	0	0	4/4	1	2	1/8	1/8	1		4	64	E4	4	27
3	3	5	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	23
3	3	11/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		9	63	D#4	4	28
3	3	6	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		8	44	G#2	2	37
3	3	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	33
3	3	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	29
3	3	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	24
3	3	13/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	38
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	39
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		5	59	B3	3	34
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		9	63	D#4	4	30
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	66	F#4	4	25
3	3	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	40
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		9	63	D#4	4	35
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66	F#4	4	31
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	26
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		10	58	A#3	3	57
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		7	61	C#4	4	51
4	4	9	1.0	0	0	4/4	1	2	1/4	1/4	1		6	66	F#4	4	45
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		7	73	C#5	5	41
4	4	10	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		8	56	G#3	3	58
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	52
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	46
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		9	75	D#5	5	42
4	4	21/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	59
4	4	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		8	56	G#3	3	60
4	4	11	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		5	59	B3	3	53
4	4	11	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		5	71	B4	4	47
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	43
4	4	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		10	58	A#3	3	61
4	4	23/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		7	61	C#4	4	54
4	4	23/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	48
4	4	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	59	B3	3	62
4	4	12	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		9	63	D#4	4	55
4	4	12	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		6	66	F#4	4	49
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		9	75	D#5	5	44
4	4	25/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	56
4	4	25/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	50
5	5	13	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	72
5	5	13	0.5	0	0	4/4	2	1	1/8	1/8	1		4	64	E4	4	68
5	5	13	1.0	0	0	4/4	1	2	1/4	1/4	1		8	68	G#4	4	65
5	5	13	2.0	0	0	4/4	1	1	1/2	1/2	1		7	73	C#5	5	63
5	5	27/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		9	63	D#4	4	69
5	5	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	73
5	5	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		7	61	C#4	4	70
5	5	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	66
5	5	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	74
5	5	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		9	63	D#4	4	71
5	5	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	67
5	5	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	64
