mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	4
1	1	0	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	3
1	1	0	0	0.5	0	3/4	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	1
1	1	0	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	0
1	1	1/2	1/2	0.5	1/8	7/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	2
2	2	1	1	1.0	0	0	4/4	2	2	1/4	1/4	1		5	47	B2	2	19
2	2	1	1	1.5	0	0	4/4	2	1	3/8	1/4	3/2		2	62	D4	4	15
2	2	1	1	0.5	0	0	4/4	1	2	1/8	1/8	1		1	67	G4	4	9
2	2	1	1	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	5
2	2	3/2	3/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	10
2	2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	20
2	2	2	2	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	11
2	2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	6
2	2	5/2	5/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	16
2	2	3	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		2	50	D3	3	21
2	2	3	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	17
2	2	3	3	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1	1	-1	65	F4	4	12
2	2	3	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	7
2	2	4	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1	1	-3	51	Eb3	3	22
2	2	4	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	18
2	2	4	4	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	13
2	2	4	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	8
2	2	9/2	9/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	14
3	3	5	5	1.0	0	0	4/4	2	2	1/4	1/4	1	-1	-3	51	Eb3	3	36
3	3	5	5	0.5	0	0	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	31
3	3	5	5	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	27
3	3	5	5	1.0	0	0	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	23
3	3	11/2	11/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	32
3	3	6	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	37
3	3	6	6	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	33
3	3	6	6	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	28
3	3	6	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	24
3	3	7	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	38
3	3	7	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55	G3	3	34
3	3	7	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		-3	63	Eb4	4	29
3	3	7	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	25
3	3	8	8	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		5	47	B2	2	39
3	3	8	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	35
3	3	8	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	30
3	3	8	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	26
4	4	9	9	2.0	0	0	4/4	2	2	1/2	1/2	1	1	0	48	C3	3	56
4	4	9	9	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	50
4	4	9	9	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	46
4	4	9	9	0.5	0	0	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5	40
4	4	19/2	19/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	51
4	4	19/2	19/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	41
4	4	10	10	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	52
4	4	10	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	47
4	4	10	10	0.5	1/4	1/4	4/4	1	1	1/8	1/8	1		0	72	C5	5	42
4	4	21/2	21/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	53
4	4	21/2	21/2	0.5	3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	43
4	4	11	11	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1	-1	0	48	C3	3	57
4	4	11	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	54
4	4	11	11	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	48
4	4	11	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	44
4	4	23/2	23/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	58
4	4	12	12	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	59
4	4	12	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	55
4	4	12	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	49
4	4	12	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		2	74	D5	5	45
4	4	25/2	25/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		-1	53	F3	3	60
5	5	13	13	1.0	0	0	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	75
5	5	13	13	0.5	0	0	4/4	2	1	1/8	1/8	1		0	60	C4	4	70
5	5	13	13	1.0	0	0	4/4	1	2	1/4	1/4	1		1	67	G4	4	65
5	5	13	13	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	61
5	5	27/2	27/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		5	59	B3	3	71
5	5	14	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-4	56	Ab3	3	76
5	5	14	14	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	72
5	5	14	14	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		1	67	G4	4	66
5	5	14	14	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	62
5	5	29/2	29/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	67
5	5	15	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	77
5	5	15	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	73
5	5	15	15	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		1	67	G4	4	68
5	5	15	15	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	63
5	5	16	16	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		1	55	G3	3	78
5	5	16	16	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	74
5	5	16	16	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		2	62	D4	4	69
5	5	16	16	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	64
