mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	3/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	3
1	1	0	1.0	0	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	2
1	1	0	1.0	0	3/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	1
1	1	0	1.0	0	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	0
2	2	1	1.0	0	0	4/4	2	2	1/4	1/4	1		4	52	E3	3	18
2	2	1	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	14
2	2	1	1.0	0	0	4/4	1	2	1/4	1/4	1	1	1	67	G4	4	8
2	2	1	1.0	0	0	4/4	1	1	1/4	1/4	1		0	72	C5	5	4
2	2	2	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	19
2	2	2	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	15
2	2	2	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1	-1	1	67	G4	4	9
2	2	2	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	5
2	2	5/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1	1	-1	65	F4	4	10
2	2	3	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		1	55	G3	3	20
2	2	3	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	16
2	2	3	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	11
2	2	3	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-2	70	Bb4	4	6
2	2	7/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	12
2	2	4	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	57	A3	3	21
2	2	4	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	17
2	2	4	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1	1	-1	65	F4	4	13
2	2	4	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	7
3	3	5	1.0	0	0	4/4	2	2	1/4	1/4	1		-2	58	Bb3	3	36
3	3	5	1.0	0	0	4/4	2	1	1/4	1/4	1		2	62	D4	4	31
3	3	5	1.0	0	0	4/4	1	2	1/4	1/4	1	0	-1	65	F4	4	26
3	3	5	1.0	0	0	4/4	1	1	1/4	1/4	1		1	67	G4	4	22
3	3	6	0.75	1/4	1/4	4/4	2	1	3/16	1/8	3/2		0	60	C4	4	32
3	3	6	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	60	C4	4	37
3	3	6	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	27
3	3	6	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	23
3	3	13/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	28
3	3	27/4	0.25	7/16	7/16	4/4	2	1	1/16	1/16	1		-2	58	Bb3	3	33
3	3	7	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	38
3	3	7	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	34
3	3	7	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		0	60	C4	4	29
3	3	7	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		-1	65	F4	4	24
3	3	8	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		-1	53	F3	3	39
3	3	8	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	60	C4	4	35
3	3	8	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	25
3	3	8	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1	1	3	69	A4	4	30
3	3	17/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	40
4	4	9	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	55
4	4	9	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	51
4	4	9	0.5	0	0	4/4	1	2	1/8	1/8	1	-1	3	69	A4	4	45
4	4	9	1.0	0	0	4/4	1	1	1/4	1/4	1		5	71	B4	4	41
4	4	19/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	46
4	4	10	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	56
4	4	10	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	52
4	4	10	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1	1	3	69	A4	4	47
4	4	10	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	42
4	4	11	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	57
4	4	11	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	53
4	4	11	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	3	69	A4	4	48
4	4	11	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	43
4	4	23/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	49
4	4	12	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		3	45	A2	2	58
4	4	12	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	54
4	4	12	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	50
4	4	12	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	44
5	5	13	1.0	0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	71
5	5	13	1.0	0	0	4/4	2	1	1/4	1/4	1		-1	65	F4	4	66
5	5	13	1.0	0	0	4/4	1	2	1/4	1/4	1		3	69	A4	4	62
5	5	13	2.0	0	0	4/4	1	1	1/2	1/2	1		5	71	B4	4	59
5	5	14	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		4	52	E3	3	72
5	5	14	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	67
5	5	14	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	63
5	5	29/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	68
5	5	15	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		3	45	A2	2	73
5	5	15	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		7	61	C#4	4	69
