mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.5	0	0	4/4	2	2	1/8	1/8	1		4	52	E3	3	17
1	1	0	1.0	0	0	4/4	2	1	1/4	1/4	1		5	59	B3	3	10
1	1	0	0.5	0	0	4/4	1	2	1/8	1/8	1		8	68	G#4	4	4
1	1	0	1.0	0	0	4/4	1	1	1/4	1/4	1		4	76	E5	5	0
1	1	1/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		6	54	F#3	3	18
1	1	1/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	5
1	1	1	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		8	56	G#3	3	19
1	1	1	0.5	1/4	1/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	11
1	1	1	0.5	1/4	1/4	4/4	1	2	1/8	1/8	1		5	71	B4	4	6
1	1	1	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	1
1	1	3/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	20
1	1	3/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	12
1	1	3/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		8	68	G#4	4	7
1	1	2	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		3	57	A3	3	21
1	1	2	0.5	1/2	1/2	4/4	2	1	1/8	1/8	1		0	60	C4	4	13
1	1	2	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	8
1	1	2	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		4	76	E5	5	2
1	1	5/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		5	59	B3	3	22
1	1	5/2	0.5	5/8	5/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	14
1	1	3	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		0	60	C4	4	23
1	1	3	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		4	64	E4	4	15
1	1	3	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	9
1	1	3	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	3
1	1	7/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	24
1	1	7/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1	1	0	60	C4	4	16
2	2	4	0.5	0	0	4/4	2	2	1/8	1/8	1		6	54	F#3	3	37
2	2	4	0.5	0	0	4/4	2	1	1/8	1/8	1	-1	0	60	C4	4	32
2	2	4	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	28
2	2	4	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	25
2	2	9/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	56	G#3	3	38
2	2	9/2	1.0	1/8	1/8	4/4	2	1	1/4	1/4	1		5	59	B3	3	33
2	2	9/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		4	64	E4	4	29
2	2	5	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	57	A3	3	39
2	2	5	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64	E4	4	30
2	2	5	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	26
2	2	11/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		3	45	A2	2	40
2	2	11/2	0.5	3/8	3/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	34
2	2	6	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	41
2	2	6	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	35
2	2	6	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		4	64	E4	4	31
2	2	6	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	27
2	2	7	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		8	56	G#3	3	36
3	3	8	1.0	0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	59
3	3	8	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	54
3	3	8	0.5	0	0	4/4	1	2	1/8	1/8	1		0	60	C4	4	47
3	3	8	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	42
3	3	17/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	48
3	3	9	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		4	52	E3	3	60
3	3	9	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59	B3	3	55
3	3	9	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1	1	4	64	E4	4	49
3	3	9	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		8	68	G#4	4	43
3	3	19/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		2	50	D3	3	61
3	3	10	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		0	48	C3	3	62
3	3	10	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60	C4	4	56
3	3	10	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1	-1	4	64	E4	4	50
3	3	10	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		3	69	A4	4	44
3	3	21/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		6	66	F#4	4	51
3	3	11	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	47	B2	2	63
3	3	11	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		2	62	D4	4	57
3	3	11	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		8	68	G#4	4	52
3	3	11	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		5	71	B4	4	45
3	3	23/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1	1	3	45	A2	2	64
3	3	23/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	58
3	3	23/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	53
3	3	23/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	46
4	4	12	0.5	0	0	4/4	2	2	1/8	1/8	1	-1	3	45	A2	2	76
4	4	12	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	65	F4	4	72
4	4	12	1.5	0	0	4/4	1	2	3/8	1/4	3/2		5	71	B4	4	68
4	4	12	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	65
4	4	25/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		8	44	G#2	2	77
4	4	25/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		4	64	E4	4	73
4	4	13	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	78
4	4	13	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	74
4	4	13	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	66
4	4	27/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		0	48	C3	3	79
4	4	27/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		3	69	A4	4	69
4	4	14	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		4	52	E3	3	80
4	4	14	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		4	64	E4	4	75
4	4	14	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	70
4	4	14	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		5	71	B4	4	67
4	4	15	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		8	68	G#4	4	71
5	5	16	0.5	0	0	4/4	2	2	1/8	1/8	1		-1	53	F3	3	95
5	5	16	1.0	0	0	4/4	2	1	1/4	1/4	1		0	60	C4	4	91
5	5	16	0.5	0	0	4/4	1	2	1/8	1/8	1		3	69	A4	4	86
5	5	16	1.0	0	0	4/4	1	1	1/4	1/4	1		3	69	A4	4	81
5	5	33/2	0.5	1/8	1/8	4/4	2	2	1/8	1/8	1		4	52	E3	3	96
5	5	33/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	87
5	5	17	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	97
5	5	17	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	92
5	5	17	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		-1	65	F4	4	88
5	5	17	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		5	71	B4	4	82
5	5	18	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		4	52	E3	3	98
5	5	18	1.5	1/2	1/2	4/4	2	1	3/8	1/4	3/2		0	60	C4	4	93
5	5	18	1.5	1/2	1/2	4/4	1	2	3/8	1/4	3/2		1	67	G4	4	89
5	5	18	0.5	1/2	1/2	4/4	1	1	1/8	1/8	1		0	72	C5	5	83
5	5	37/2	0.5	5/8	5/8	4/4	1	1	1/8	1/8	1		5	71	B4	4	84
5	5	19	1.0	3/4	3/4	4/4	2	2	1/4	1/4	1		-1	53	F3	3	99
5	5	19	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		3	69	A4	4	85
5	5	39/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	94
5	5	39/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		-1	65	F4	4	90
6	6	20	1.0	0	0	4/4	2	2	1/4	1/4	1		7	49	C#3	3	110
6	6	20	1.0	0	0	4/4	2	1	1/4	1/4	1		3	57	A3	3	107
6	6	20	1.5	0	0	4/4	1	2	3/8	1/4	3/2		4	64	E4	4	104
6	6	20	0.5	0	0	4/4	1	1	1/8	1/8	1		3	69	A4	4	100
6	6	41/2	0.5	1/8	1/8	4/4	1	1	1/8	1/8	1		1	67	G4	4	101
6	6	21	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		2	50	D3	3	111
6	6	21	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	108
6	6	21	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		-1	65	F4	4	102
6	6	43/2	0.5	3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	105
6	6	22	2.0	1/2	1/2	4/4	2	2	1/2	1/2	1		3	45	A2	2	112
6	6	22	2.0	1/2	1/2	4/4	2	1	1/2	1/2	1		3	57	A3	3	109
6	6	22	2.0	1/2	1/2	4/4	1	2	1/2	1/2	1		7	61	C#4	4	106
6	6	22	2.0	1/2	1/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	103
7	7	24	1.0	0	0	4/4	2	2	1/4	1/4	1		-2	46	Bb2	2	131
7	7	24	0.5	0	0	4/4	2	1	1/8	1/8	1		-1	53	F3	3	125
7	7	24	0.5	0	0	4/4	1	2	1/8	1/8	1		2	62	D4	4	118
7	7	24	1.0	0	0	4/4	1	1	1/4	1/4	1		2	62	D4	4	113
7	7	49/2	0.5	1/8	1/8	4/4	2	1	1/8	1/8	1		2	50	D3	3	126
7	7	49/2	0.5	1/8	1/8	4/4	1	2	1/8	1/8	1		1	55	G3	3	119
7	7	25	0.5	1/4	1/4	4/4	2	2	1/8	1/8	1		3	45	A2	2	132
7	7	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	52	E3	3	127
7	7	25	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	57	A3	3	120
7	7	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		7	61	C#4	4	114
7	7	51/2	0.5	3/8	3/8	4/4	2	2	1/8	1/8	1		1	43	G2	2	133
7	7	26	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		-1	41	F2	2	134
7	7	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	53	F3	3	128
7	7	26	0.5	1/2	1/2	4/4	1	2	1/8	1/8	1		3	57	A3	3	121
7	7	26	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		2	62	D4	4	115
7	7	53/2	0.5	5/8	5/8	4/4	1	2	1/8	1/8	1		5	59	B3	3	122
7	7	27	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		4	40	E2	2	135
7	7	27	0.5	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55	G3	3	129
7	7	27	0.5	3/4	3/4	4/4	1	2	1/8	1/8	1		7	61	C#4	4	123
7	7	27	0.5	3/4	3/4	4/4	1	1	1/8	1/8	1		4	64	E4	4	116
7	7	55/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1	1	2	38	D2	2	136
7	7	55/2	0.5	7/8	7/8	4/4	2	1	1/8	1/8	1		3	57	A3	3	130
7	7	55/2	0.5	7/8	7/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	124
7	7	55/2	0.5	7/8	7/8	4/4	1	1	1/8	1/8	1		-1	65	F4	4	117
8	8	28	0.5	0	0	4/4	2	2	1/8	1/8	1	-1	2	38	D2	2	147
